review_id,app_id,text,voted_up,playtime_minutes,timestamp,sentiment_score,label
192304044,394690,"it seems fun at first. there is blood, there is death, they need to put violence on the menu before you buy. i would have bought this for my kid. but then i played it. a women with sisors in her back, a ride with people eating eachother, the ability to kill your neighbor, in grusome means. this game is not good. and they banned me from chat becuase i said anal sex is gross. they called me a homophobic.",True,7978,1744131960,-0.9486,negative
191295283,394690,"Nothing to get excited about Cheaters rule the roost mostly here, you have a thing to play with others that have no skill except to cheat others in scores.go ahead, garbage bags of skin, permitted cheating otherwise why has it been allowed to go on for over a year you want honest play, go elsewhere",False,38421,1743079287,-0.6526,negative
191031891,394690,"[h1] This is a racist, transphobic, horrible game! [/h1]

I've experienced nothing but the worst ""humanity"" has had to offer by being horrifically subjected to this game's community. I would be repeatedly misgendered in chat, and made fun of for my models all the time by anti-furry bullies (Loona [b] 4EVER [/b] btw). No matter where I went, I faced constant and continuous discrimination and it's finally time for me to speak truth to power. I heard the 'r' slur thrown around like ao3 omegaverse tags over voice, and there was one cr**p who would constantly harass me in voice whenever xe heard me with such ""lovely"" sayings as ""hey baby, why don't you ditch this poindexter and hang with a real [slur] lover like me"". Suffice to say, I was shocked. 

But the [b] WORST [/b] encounters were in condos. One time I went into a condo and saw a picture of an underage anime girl and I heard they had to close the condo after for breaking the rules. One time, some troll was playing an awful homophobic rap video that was so racist I had to go get a psych eval, true story. Condos are filled with the most racist, sexist, right-wing, anti-transgender incels that have stalked me and threatened to ""set off my peanut allergy via a peanut-laced package"" (I list my allergies on my caard page) so many times I had a panic attack. I can't believe this degree of harassment has been normalized (thanks Tr*mp, El*n, R***ing and And*rew T8). 

The last straw was when I tried to defend the honor of an admin in front of this guy holding the whole server h*stage with his misinformed hate speech about how starship troopers is bad satire. Unfortunately, I somehow got permanently banned as a result of my heroic verbal sparring (my ban message said 'illegal content in condo???). I only had my furaffinity gallery posted (I am part of the kink community) because my parole officer said I can't have my page anymore. Anyways, I'm trying to appeal, but right now, I just can't endorse this hotbed of anti-social, chud-allowing, 4chan style cage match that risks sending me into a mental spiral every time I log in. 

(If my hours don't match, that's because I spent the last several months trying to appeal my parole violation and part of my agreement was no computer time :/. I got it back thankfully. too bad last time I tried to launch the game my 3090 overheated and exploded and killed my hamster so I can't play even if I wanted to.)",False,5200,1742769481,-0.9974,negative
190082137,394690,"Edit: They can and will ban you for anything but keep their list of rules brief when you join and look at them in game. [url=https://steamcommunity.com/groups/towerunitebans/discussions/0/6597293740386227918/]Take a look.[/url]


A social game is only as good as the variety of discussion you can have in it. [b]Particularly egregious interaction rules are ""No agreeing with J. K. Rowling."", ""No Illspeak of Developers"", ""No Trolling"", ""No Controversial Discussions"", and ""No Debates"".[/b] There are also numerous double standard rules including ""No Politics"", ""No Sexual Behaviour"", ""No Controversial Discussions"", ""No Media that can break any of our Rules"", ""No Offensive Text-Hats"", and ""No Offensive Condo Titles"".

Original review:

I have a lot of nostalgia for GMTower and this game but I dislike the admins and moderators and preferential treatment given to the crowd you likely already know.

Lots of freaks playing as well and being uncensored within condos only goes as far to the types of images you can host within them. You can and will get punished for what you say even within your own condo where there's supposed to be ""no moderation"" and be chat banned from every single ""unmoderated"" condo if you get chat banned in the lobby.

I'm by no means a puritan but it's stupid to allow the levels of nsfw they show within condos while also protecting certain other classes and banning people who get a bit too uppity against them. I guess it's fine if you're a pervert who falls into that group. I'm sure it's also fine for them to trash talk whoever they see fit.

You can get a lot of mileage trolling people in it. Be careful what you say though. They're more than happy to ban the people who spend 20 dollars on their game if they don't like them. If they want more people in their game they should lower the price down to 5 and just ban people over and over again.

Edit 2: I have not been banned as of writing this review and have never been banned. My biggest issue is the double standards of the moderation who very obviously have leanings they cater to. Read the link and ask yourself why it only specifies one group of people who would have one particular point of view they hold.",False,52408,1741865719,-0.9958,negative
186178351,394690,"so fun that I got chat banned, play with friends or start your gambling addiction",True,5894,1737578268,0.7264,positive
185309167,394690,Got tricked into having a conversation about slurs now im voice and chat banned :(,False,2127,1736560554,-0.7579,negative
184818570,394690,"Never would suggest buying this game if you would like to be a prisoner to their needs with the mods not even following their own rules and be banned if you have a mind of your own on what fun is. No story mode, just gambling and mentally ill patients that aren't in the asylum yet.",False,18490,1736067582,-0.6908,negative
184654122,394690,"I have alot of fun in this game, especially with friends. The amount of games inside this single game is incredible to say the least. They just need polished because a lot of them are a buggy mess, but they are miles better than they were on release. I would recommend to play if you can get over the one super weird thing...all the furries and weirdos spewing their weirdness everywhere. There needs to be a larger presence of moderators. It has driven me to find other lobbies, condos, and have had friends to just quit the game completely. If they care about any stability in the long run, and keeping a steady player base, the bugs and weirdos need to be addressed.

Edit: As of writing the first part of my review I will no longer recommend the game. There was a discussion about the furries and femboys that play the game in the general chat, and I said that I hope they get the mental help they need, and I was banned for it. MEANWHILE, people can literally run around the plaza using their microphone to say the most racist things I've ever heard of my life, people can post furry porn in their condos, and they don't get a ban. Make it make sense. A truly fun game ruined by the community and devs.",False,6404,1735920844,0.983,positive
184038993,394690,got a perma ban on my first ban,False,2874,1735426841,-0.802,negative
178678690,394690,will ban you for literally no reason,False,2516,1731152586,-0.7003,negative
178499663,394690,will ban you for literally no reason.,False,1890,1730898568,-0.7003,negative
